,content_id,content,subject,sentiment_value,sentiment_word,char,subject_id
0,vUXizsqexyZVRdFH,因为森林人即将换代，这套系统没必要装在一款即将换代的车型上，因为肯定会影响价格。,价格,0,影响,"['因', '为', '森', '林', '人', '即', '将', '换', '代', '这', '套', '系', '统', '没', '必', '要', '装', '在', '一', '款', '即', '将', '换', '代', '的', '车', '型', '上', '因', '为', '肯', '定', '会', '影', '响', '价', '格']",5
1,4QroPd9hNfnCHVt7,四驱价格貌似挺高的，高的可以看齐XC60了，看实车前脸有点违和感。不过大众的车应该不会差。,价格,-1,高,"['四', '驱', '价', '格', '貌', '似', '挺', '高', '的', '高', '的', '可', '以', '看', '齐', 'X', 'C', '6', '0', '了', '看', '实', '车', '前', '脸', '有', '点', '违', '和', '感', '不', '过', '大', '众', '的', '车', '应', '该', '不', '会', '差']",5
2,QmqJ2AvM5GplaRyz,斯柯达要说质量，似乎比大众要好一点，价格也低一些，用料完全一样。我听说过野帝，但没听说过你说这车。   ,价格,1,低,"['斯', '柯', '达', '要', '说', '质', '量', '似', '乎', '比', '大', '众', '要', '好', '一', '点', '价', '格', '也', '低', '一', '些', '用', '料', '完', '全', '一', '样', '我', '听', '说', '过', '野', '帝', '但', '没', '听', '说', '过', '你', '说', '这', '车']",5
3,KMT1gFJiU4NWrVDn,这玩意都是给有钱任性又不懂车的土豪用的，这价格换一次我妹夫EP020可以换三锅了,价格,-1,有钱任性,"['这', '玩', '意', '都', '是', '给', '有', '钱', '任', '性', '又', '不', '懂', '车', '的', '土', '豪', '用', '的', '这', '价', '格', '换', '一', '次', '我', '妹', '夫', 'E', 'P', '0', '2', '0', '可', '以', '换', '三', '锅', '了']",5
4,nVIlGd5yMmc37t1o,17价格忒高，估计也就是14-15左右。   ,价格,-1,高,"['1', '7', '价', '格', '忒', '高', '估', '计', '也', '就', '是', '1', '4', '-', '1', '5', '左', '右']",5
5,TVciHBPL5XmUxMEd,我开始就是荣放2.5  森林人2.5二选一    荣放主要是底盘质感不行   太硬  其次是不能打开的天窗  和公主坟   不过价格确实便宜    少了5W块,价格,1,便宜,"['我', '开', '始', '就', '是', '荣', '放', '2', '5', '森', '林', '人', '2', '5', '二', '选', '一', '荣', '放', '主', '要', '是', '底', '盘', '质', '感', '不', '行', '太', '硬', '其', '次', '是', '不', '能', '打', '开', '的', '天', '窗', '和', '公', '主', '坟', '不', '过', '价', '格', '确', '实', '便', '宜', '少', '了', '5', 'W', '块']",5
6,4lb9TsO5rjqUy1Bu,唉，这货的价格死硬死硬的，低配版优惠1万据说已经罕有了。    ,价格,-1,死硬,"['唉', '这', '货', '的', '价', '格', '死', '硬', '死', '硬', '的', '低', '配', '版', '优', '惠', '1', '万', '据', '说', '已', '经', '罕', '有', '了']",5
7,z98xV7MphZIF4EvO,价格的话只能说一般般吧，太仓前段时间定的比你便宜！    ,价格,0,一般,"['价', '格', '的', '话', '只', '能', '说', '一', '般', '般', '吧', '太', '仓', '前', '段', '时', '间', '定', '的', '比', '你', '便', '宜']",5
8,hoWrMnGTUvdsK3Dm,听过，价格太贵，但一直念念不忘    ,价格,-1,贵,"['听', '过', '价', '格', '太', '贵', '但', '一', '直', '念', '念', '不', '忘']",5
9,r1WHgbI0ZKqMdELy,恭喜恭喜，这个优惠不错哦！,价格,1,优惠不错,"['恭', '喜', '恭', '喜', '这', '个', '优', '惠', '不', '错', '哦']",5
10,JSQUo6kblXYvtc2h,优惠幅度不小了，北京优惠八千,价格,1,优惠幅度不小,"['优', '惠', '幅', '度', '不', '小', '了', '北', '京', '优', '惠', '八', '千']",5
11,7kCF590PjAYqzEL6,优惠可以了！购进吧！买了不会后悔的！时间可鉴！   ,价格,1,不会后悔,"['优', '惠', '可', '以', '了', '购', '进', '吧', '买', '了', '不', '会', '后', '悔', '的', '时', '间', '可', '鉴']",5
12,EXBiRczhIu3paJWb,现在 什么价 优惠多少,价格,0,优惠,"['现', '在', '什', '么', '价', '优', '惠', '多', '少']",5
13,nQ0bIZtzj6P1Esgd,优惠一万一 送贴膜装甲脚垫 铁西庞大,价格,0,优惠,"['优', '惠', '一', '万', '一', '送', '贴', '膜', '装', '甲', '脚', '垫', '铁', '西', '庞', '大']",5
14,JvXIqLT8cGDuPEWe,我也大连的，最近也考虑入手森林人，优惠太小了,价格,-1,优惠太小,"['我', '也', '大', '连', '的', '最', '近', '也', '考', '虑', '入', '手', '森', '林', '人', '优', '惠', '太', '小', '了']",5
15,NXyGEbt0AZ5rHJ3e,山东威海全系这才优惠3000，MD,价格,-1,才优惠,"['山', '东', '威', '海', '全', '系', '这', '才', '优', '惠', '3', '0', '0', '0', 'M', 'D']",5
16,kN0LghcimajxWwH8,下手了，豪导特供，优惠1.6万,价格,0,优惠,"['下', '手', '了', '豪', '导', '特', '供', '优', '惠', '1', '6', '万']",5
17,vVoKucJy5pO0jSk2,优惠了8000，什么都不送。    ,价格,0,优惠,"['优', '惠', '了', '8', '0', '0', '0', '什', '么', '都', '不', '送']",5
18,iBFJMqHtTRD5Qo6S,兄弟2.5豪导特供优惠1.6万可以下手吗？    ,价格,0,优惠,"['兄', '弟', '2', '5', '豪', '导', '特', '供', '优', '惠', '1', '6', '万', '可', '以', '下', '手', '吗']",5
19,G8Yr51elsVaXFUZC,恭喜，优惠多少，我准备明天去提，2.5特装优惠两万,价格,0,优惠,"['恭', '喜', '优', '惠', '多', '少', '我', '准', '备', '明', '天', '去', '提', '2', '5', '特', '装', '优', '惠', '两', '万']",5
20,10WF8Q53pVfOryvA,什么车款，多少优惠啊？康桥我只能谈到优惠1.5其他还送什么没问，试驾了一次看了两次2.0时尚     ,价格,0,优惠,"['什', '么', '车', '款', '多', '少', '优', '惠', '啊', '康', '桥', '我', '只', '能', '谈', '到', '优', '惠', '1', '5', '其', '他', '还', '送', '什', '么', '没', '问', '试', '驾', '了', '一', '次', '看', '了', '两', '次', '2', '0', '时', '尚']",5
21,VrRd1HcoMNAkvhJy,优惠1 ，就送行程记录     ,价格,0,优惠,"['优', '惠', '1', '就', '送', '行', '程', '记', '录']",5
22,1BYpO9FsgkmWLNQu,平常心吧，我本来想买傲虎，优惠不大，钱不够，改提森林人，6月提尊贵优惠1.4w，到了9月做活动森林人全系2w，傲虎全系3w，我......   ,价格,0,优惠,"['平', '常', '心', '吧', '我', '本', '来', '想', '买', '傲', '虎', '优', '惠', '不', '大', '钱', '不', '够', '改', '提', '森', '林', '人', '6', '月', '提', '尊', '贵', '优', '惠', '1', '4', 'w', '到', '了', '9', '月', '做', '活', '动', '森', '林', '人', '全', '系', '2', 'w', '傲', '虎', '全', '系', '3', 'w', '我']",5
23,9EFImNb0ywhHBlcR,哈哈，25.48。优惠够给力    ,价格,0,优惠,"['哈', '哈', '2', '5', '4', '8', '优', '惠', '够', '给', '力']",5
24,2aNFSuYeZo7B1b9R,兄弟，我也云南的，你的优惠也挺大的，现在哪里来的全系3万啊。。。现傲虎全系无优惠，森林人才八千    ,价格,-1,才,"['兄', '弟', '我', '也', '云', '南', '的', '你', '的', '优', '惠', '也', '挺', '大', '的', '现', '在', '哪', '里', '来', '的', '全', '系', '3', '万', '啊', '现', '傲', '虎', '全', '系', '无', '优', '惠', '森', '林', '人', '才', '八', '千']",5
25,4EK1Nu7X2DTzomRS,来湖北，我上月订的2.0蓝色时尚，优惠1万3送6次保养，本月底提车,价格,0,优惠,"['来', '湖', '北', '我', '上', '月', '订', '的', '2', '0', '蓝', '色', '时', '尚', '优', '惠', '1', '万', '3', '送', '6', '次', '保', '养', '本', '月', '底', '提', '车']",5
26,TWPEyNaI5mFgYupn,什么都没有，就是现金优惠和给了点小东西    ,价格,0,优惠,"['什', '么', '都', '没', '有', '就', '是', '现', '金', '优', '惠', '和', '给', '了', '点', '小', '东', '西']",5
27,96A5VQfBgPWUYkul,什么都没有，就是现金优惠和给了点小东西，你最好先问问看有没有车    ,价格,0,优惠,"['什', '么', '都', '没', '有', '就', '是', '现', '金', '优', '惠', '和', '给', '了', '点', '小', '东', '西', '你', '最', '好', '先', '问', '问', '看', '有', '没', '有', '车']",5
28,JXlEzBcKGpI8stdr,原来最低也就优惠15000至16000   ,价格,0,优惠,"['原', '来', '最', '低', '也', '就', '优', '惠', '1', '5', '0', '0', '0', '至', '1', '6', '0', '0', '0']",5
29,P5A3evWb9jUyHMB2,我们这里，优惠2000，我呵呵了,价格,-1,呵呵,"['我', '们', '这', '里', '优', '惠', '2', '0', '0', '0', '我', '呵', '呵', '了']",5
30,RJe23jzrhZS4YDf7,遵义优惠6000，送十万公里包养,价格,0,优惠,"['遵', '义', '优', '惠', '6', '0', '0', '0', '送', '十', '万', '公', '里', '包', '养']",5
31,zYfd7eDQqKZglLRi,深圳这破地方居然只优惠5K，看大家说的竟然有1万5的,价格,-1,只优惠,"['深', '圳', '这', '破', '地', '方', '居', '然', '只', '优', '惠', '5', 'K', '看', '大', '家', '说', '的', '竟', '然', '有', '1', '万', '5', '的']",5
32,LOCJwcQRnB9D1UWX,我只看到优惠20K ，不错。呵呵,价格,0,优惠,"['我', '只', '看', '到', '优', '惠', '2', '0', 'K', '不', '错', '呵', '呵']",5
33,SqulQGhIwreFVHYb,本来谈到2.5豪华优惠1万，因为想要10月份以后的车，销售推荐了特装。比尊贵只差了轮毂，很值    ,价格,1,值,"['本', '来', '谈', '到', '2', '5', '豪', '华', '优', '惠', '1', '万', '因', '为', '想', '要', '1', '0', '月', '份', '以', '后', '的', '车', '销', '售', '推', '荐', '了', '特', '装', '比', '尊', '贵', '只', '差', '了', '轮', '毂', '很', '值']",5
34,ACrPWTUvI2BOZHN5,优惠1万，上5年保险延保两年，不交钱    ,价格,0,优惠,"['优', '惠', '1', '万', '上', '5', '年', '保', '险', '延', '保', '两', '年', '不', '交', '钱']",5
35,YVfZamz38QbrtMGx,哦，套路。。。。送的礼包也只有保养实惠点，现金优惠搞到最大，再弄几次保养。,价格,-1,套路,"['哦', '套', '路', '送', '的', '礼', '包', '也', '只', '有', '保', '养', '实', '惠', '点', '现', '金', '优', '惠', '搞', '到', '最', '大', '再', '弄', '几', '次', '保', '养']",5
36,MsCmRYyhIen2GBjZ,特装确实不错，配置很实用,配置,1,实用,"['特', '装', '确', '实', '不', '错', '配', '置', '很', '实', '用']",4
37,bhpH5MCV0GorXLud,没cd，没后视镜记忆。之家配置单里写有的,配置,-1,没,"['没', 'c', 'd', '没', '后', '视', '镜', '记', '忆', '之', '家', '配', '置', '单', '里', '写', '有', '的']",4
38,KOD82cJZ6CvI0e4R,长城配置好！性价比高！,配置,1,好,"['长', '城', '配', '置', '好', '性', '价', '比', '高']",4
40,lkRcwBU9zQbdHeoj,特装我觉得就是多了几个不实用的配置，除了电动尾门，其他都没意义,配置,-1,不实用,"['特', '装', '我', '觉', '得', '就', '是', '多', '了', '几', '个', '不', '实', '用', '的', '配', '置', '除', '了', '电', '动', '尾', '门', '其', '他', '都', '没', '意', '义']",4
41,1WpNIYyxzfmnUlrH,摩雷的听爱卓和优特声听人声都非常OK，而且价格不算高。DLS的低频应该是不用担心的，建议后门装，不加低音的前提下！可以加好友聊配置方案！    ,配置,1,OK,"['摩', '雷', '的', '听', '爱', '卓', '和', '优', '特', '声', '听', '人', '声', '都', '非', '常', 'O', 'K', '而', '且', '价', '格', '不', '算', '高', 'D', 'L', 'S', '的', '低', '频', '应', '该', '是', '不', '用', '担', '心', '的', '建', '议', '后', '门', '装', '不', '加', '低', '音', '的', '前', '提', '下', '可', '以', '加', '好', '友', '聊', '配', '置', '方', '案']",4
42,tlj956MLseiyCTND,这个山寨导航屏幕很背光 换任何导航软件 我都提不起兴趣,配置,-1,背光,"['这', '个', '山', '寨', '导', '航', '屏', '幕', '很', '背', '光', '换', '任', '何', '导', '航', '软', '件', '我', '都', '提', '不', '起', '兴', '趣']",4
43,q8wYIbkWPTmcv7da,原车的卡打开  显示所有文件 拷贝所有文件除了ini文件.   拷贝到16G卡(先格式化，我用的32G) 论坛下载的凯立德 拷贝整个文件以及ini文件到16G卡， 把ini设为只读. 插入导航开机，齐活了， 不复杂吧!,配置,0,,"['原', '车', '的', '卡', '打', '开', '显', '示', '所', '有', '文', '件', '拷', '贝', '所', '有', '文', '件', '除', '了', 'i', 'n', 'i', '文', '件', '拷', '贝', '到', '1', '6', 'G', '卡', '先', '格', '式', '化', '我', '用', '的', '3', '2', 'G', ')', '论', '坛', '下', '载', '的', '凯', '立', '德', '拷', '贝', '整', '个', '文', '件', '以', '及', 'i', 'n', 'i', '文', '件', '到', '1', '6', 'G', '卡', '把', 'i', 'n', 'i', '设', '为', '只', '读', '插', '入', '导', '航', '开', '机', '齐', '活', '了', '不', '复', '杂', '吧']",4
44,GI4jT7Rvn9JECKVP,个人感觉 改导航 没什么用 还不如手机，2.0改那个中控小彩屏真心不错。,配置,1,不错,"['个', '人', '感', '觉', '改', '导', '航', '没', '什', '么', '用', '还', '不', '如', '手', '机', '2', '0', '改', '那', '个', '中', '控', '小', '彩', '屏', '真', '心', '不', '错']",4
45,A6NsxYld5Ww9nqZh,还是没有手机导航更新快  而且还有实时路况,配置,-1,没有,"['还', '是', '没', '有', '手', '机', '导', '航', '更', '新', '快', '而', '且', '还', '有', '实', '时', '路', '况']",4
46,sz5SD8QwktNdIEJx,不仅16款，斯巴鲁的导航全是到港装的国产山寨导航，分辨率正常啊,配置,-1,山寨,"['不', '仅', '1', '6', '款', '斯', '巴', '鲁', '的', '导', '航', '全', '是', '到', '港', '装', '的', '国', '产', '山', '寨', '导', '航', '分', '辨', '率', '正', '常', '啊']",4
47,9nVacW5jLDCH267x,别卖了兄弟，森林人好开不保值。买的时候尊贵值钱，卖的时候尊贵不值钱，导航也不值钱，较少的公里数和良好的车况基本无视。发票价第一年八折，往后每年一折，四年的车就还剩5-6折····,配置,-1,不值钱,"['别', '卖', '了', '兄', '弟', '森', '林', '人', '好', '开', '不', '保', '值', '买', '的', '时', '候', '尊', '贵', '值', '钱', '卖', '的', '时', '候', '尊', '贵', '不', '值', '钱', '导', '航', '也', '不', '值', '钱', '较', '少', '的', '公', '里', '数', '和', '良', '好', '的', '车', '况', '基', '本', '无', '视', '发', '票', '价', '第', '一', '年', '八', '折', '往', '后', '每', '年', '一', '折', '四', '年', '的', '车', '就', '还', '剩', '5', '-', '6', '折', '·', '·', '·', '·']",4
48,gyRioxAM0UEkjDus,XT性价比不高，太贵啦！还是买2.5豪华导航版吧（2.5低配）。    ,配置,-1,贵,"['X', 'T', '性', '价', '比', '不', '高', '太', '贵', '啦', '还', '是', '买', '2', '5', '豪', '华', '导', '航', '版', '吧', '2', '5', '低', '配']",4
49,rf7K8CHOj6dVJmEI,个人意见现车导航比不上手机好用，音响改装就是花无用钱。,配置,-1,比不上,"['个', '人', '意', '见', '现', '车', '导', '航', '比', '不', '上', '手', '机', '好', '用', '音', '响', '改', '装', '就', '是', '花', '无', '用', '钱']",4
50,8qIz60Ch5WbaVmc1,我16款开导航一会儿屏幕就黑了,配置,-1,黑,"['我', '1', '6', '款', '开', '导', '航', '一', '会', '儿', '屏', '幕', '就', '黑', '了']",4
51,aA6qlSkoHIrts85y,2015款特装的导航谁升级了？,配置,0,,"['2', '0', '1', '5', '款', '特', '装', '的', '导', '航', '谁', '升', '级', '了']",4
52,n2pkF0Y6y4VjcBRd,原车CD音质好的很，我把4S送的导航拆了又换回CD机头了。纯粹，简单，实用！这也是斯巴鲁的精神！车么，是用来开的，不是用来玩APP的,配置,1,好,"['原', '车', 'C', 'D', '音', '质', '好', '的', '很', '我', '把', '4', 'S', '送', '的', '导', '航', '拆', '了', '又', '换', '回', 'C', 'D', '机', '头', '了', '纯', '粹', '简', '单', '实', '用', '这', '也', '是', '斯', '巴', '鲁', '的', '精', '神', '车', '么', '是', '用', '来', '开', '的', '不', '是', '用', '来', '玩', 'A', 'P', 'P', '的']",4
53,hL8JZfmrwHMDzUsE,垃圾导航 都不晓得怎么退出  比如听收音，退到主界面还是收音在响，换成USB就能切换过来，到了USB又不知道怎么退出. 先天不足啊,配置,-1,垃圾,"['垃', '圾', '导', '航', '都', '不', '晓', '得', '怎', '么', '退', '出', '比', '如', '听', '收', '音', '退', '到', '主', '界', '面', '还', '是', '收', '音', '在', '响', '换', '成', 'U', 'S', 'B', '就', '能', '切', '换', '过', '来', '到', '了', 'U', 'S', 'B', '又', '不', '知', '道', '怎', '么', '退', '出', '先', '天', '不', '足', '啊']",4
54,QPWzrFTepBUuGlx8,我的导航从没有死机过。,配置,0,,"['我', '的', '导', '航', '从', '没', '有', '死', '机', '过']",4
55,hUAmRWNtwXyc2BSE,显示屏幕应该不支持蓝光的，原装的导航太差,配置,-1,差,"['显', '示', '屏', '幕', '应', '该', '不', '支', '持', '蓝', '光', '的', '原', '装', '的', '导', '航', '太', '差']",4
