content_id,subject,sentiment_value,sentiment_word
XuPwKCnA2fqNh5vm,舒适性,0.10387621,
2jNbDn85goX3IuPE,舒适性,0.0813812,
hLgEADQ8sUnvGFK9,舒适性,0.10501974,
nZmM7LQsfr03wUaz,舒适性,0.20535697,
pwd8MnrthDqLZafe,舒适性,0.09338284,
cudSKGTyMLbIt8k3,舒适性,0.071693905,
U5RMQtopwFzDVxHm,舒适性,0.13444284,
Kh0ayJjuTrzwPAs1,舒适性,0.0029975602,
YZovRtEAyQJgTi1I,舒适性,0.060384348,
BeSIAUzoTWH9muYl,舒适性,0.229619,
SXYTBWg6FxuboMnd,舒适性,-0.06589683,
RDgTmzW9xBfY6pGv,舒适性,0.015805615,
8cMwzsxkL4XtuDG1,舒适性,0.059869256,
MOUrvjDsIJpbw6dQ,舒适性,0.00092978566,
t01PVoDSd9Lsy5HN,舒适性,-0.12361366,
icMQmPJA9Sv0KGTw,舒适性,0.021699088,
VQkjM1657sIroCf3,舒适性,0.03706674,
1rGSYnOx9Fb2ULQX,舒适性,-0.0025216362,
SgNFp8ixQX1HA64y,舒适性,0.043451987,
sO6Ac1mThYBKyl4M,舒适性,0.05654933,
qIUiOxGdb0M4PQky,舒适性,0.106938295,
6GMYQa0Ag4o9nsZ2,舒适性,0.06205341,
6Ewe2kxO5msAg0yU,舒适性,0.047354106,
PMeBcRxizIaNmAC7,舒适性,0.028199153,
9x4gvon6TfN0KtqY,舒适性,0.06284176,
Er3x8Ks6mpQqeZO0,舒适性,0.08467779,
f5UhrHg6Zztl7VWj,舒适性,0.10170693,
fYtbApDWqzGmKX8F,舒适性,0.048514664,
YUWFxTOoZCkNzKcu,舒适性,0.0895065,
hNVSLDr06cMsgwfI,舒适性,-0.008430565,
aV6A5z8pJRkKIC9r,舒适性,0.014853207,
E9SZbnzR2XW0QiLs,舒适性,0.14181407,
DXhAOZEsTBVWaSRH,舒适性,-0.014051067,
6p8glZ2iewsInqK4,舒适性,0.11803622,
AWsymeHLSU1f38tT,舒适性,-0.042408627,
l94kJgMBpYoODyzQ,舒适性,0.034304988,
bVeAzdpgX7tFDlPI,舒适性,0.21766739,
lQ0N8fd4On7TzcsD,舒适性,0.05838586,
jhmIcH6LTxkGVE19,舒适性,-0.04644548,
68jBJULyWclT9Pir,舒适性,-0.06270066,
7prF9LJoixSgPQvM,舒适性,-0.021313624,
Q4lp0HBNfTD2xYAv,舒适性,0.23046176,
M3Hqx1Un8ygzFTtl,舒适性,0.20192789,
cIevXAM5FRp14Nni,舒适性,0.19574785,
8jCcfemUlPaQFx67,舒适性,0.02264305,
ZqEa9wGAXNCDRoph,舒适性,-0.11629454,
SHbyJ2RM9oi4ZtdD,舒适性,-0.05143684,
vNgGz3Kfj1qCe92E,舒适性,-0.19887541,
9eqiWkfr8HNR0xPo,舒适性,-0.21365502,
sAtwDdFoc06XgaW9,舒适性,-0.13047943,
23EJ8RwY9PcotslQ,舒适性,-0.1569753,
oKdBRimU38Gjc9PJ,舒适性,-0.030037114,
zsADXh4cYeUjEKSP,舒适性,-0.23596254,
Q2LaKeht0Vvo1Rn6,舒适性,0.009620925,
hszDKcUSek9dyP5o,舒适性,-0.091727845,
Mb7fevclI1UmTzo3,舒适性,-0.17297795,
rgv1ykaC29JoQlcu,舒适性,-0.020647252,
EKI7PjFs81Lc52uS,舒适性,0.016287854,
5b2XhIBYPOCfMzcu,舒适性,-0.014427589,
n2Fm18vbEDIa53ys,舒适性,0.019547654,
Mq4oVg68SWFBz9i5,舒适性,0.10272496,
7hHUfbrVKp1aAFmN,舒适性,-0.02422467,
qvD82LNTpMdsAXIe,舒适性,-0.00994225,
sKPpYiV2bXWEjTLc,舒适性,0.19375174,
KaM0rQpCE7yLYgH2,舒适性,-0.07066381,
g1qaKmR09LUXcp8B,舒适性,-0.008231053,
OKVCfRJ8X9BwxaTv,舒适性,0.0085207205,
tcPLeKdDrkYG1394,舒适性,0.095077805,
siYq5vrJBQzkuZPy,舒适性,-0.06970915,
aLs9AwhZ85vgiRbx,舒适性,0.013344577,
UneE7iqV6mW5HlgP,舒适性,0.013268983,
8P6E32xNmKAebnOs,舒适性,0.044269633,
j2vcEXIrmkH9qs1J,舒适性,0.021658203,
CshiU6A13rR9dbPS,舒适性,0.014754368,
6JZHOqne2YW01FVz,舒适性,0.013640111,
kFo7T8n6wXICfc3d,舒适性,0.061953437,
4nAlYpJof87Nj1F3,舒适性,0.1114919,
v6iprjTLdctoJW3b,舒适性,0.012860438,
RF9YTAlbQU5CagdN,舒适性,0.02569796,
DYhuU8SPpywX2eN9,舒适性,0.06471106,
Aml1h4xUJt5u6bQ9,舒适性,0.057812262,
hcWAJdmC9avz7MU1,舒适性,0.047808684,
9Jt0O5d3s6wz1lkf,舒适性,0.15219826,
ZgEVkuFc0QNqpsYG,舒适性,0.15718184,
QRw7ngTJ2A5CYBGW,舒适性,0.12396934,
06vPIQBqVNe2dl3f,舒适性,0.12396934,
p0FUwsNPYQKl1HSg,舒适性,0.09036702,
BDoeHPlCiNVXEvrg,舒适性,0.01843421,
ARIng69ZHsY7DCN1,舒适性,0.039934326,
zPg9hyoViI8JUYw6,舒适性,0.021017289,
cBMxouh5FEnz36DI,舒适性,0.084532775,
Q6aR7udCFz4U5jrI,舒适性,0.08392551,
y3Oa1dcwCjlBsRPM,舒适性,0.117244944,
6ALsOa4BdUbFfGr7,舒适性,0.010221286,
e04NZMmVT1qLJXIu,舒适性,-0.12592612,
9Lkxm8NewpuUVG2T,舒适性,-0.08234859,
SEFvD0TOQgnlJsWK,舒适性,0.21769007,
S1WzLCPqeIT8sMmZ,舒适性,0.012732429,
MSn1hW8XCsGTkpxY,舒适性,-0.036145356,
AC9siSxTEzyKrlaZ,舒适性,-0.034893356,
5rBkYEyl1IU0TVhC,舒适性,-0.016932836,
WZmFIHJLqT3O1BVk,舒适性,0.12278869,
x6mbO2rHfU3hTej4,舒适性,0.082990564,
8Hdtp2WE6nMf93YP,舒适性,0.16858079,
ELck8IARbwdpgvri,舒适性,0.13405484,
HfSMToNXhrwY3mlk,舒适性,0.16247621,
rM6sP4AXpCfNc7xR,舒适性,0.18797505,
14dQnL9lxMYeksH3,舒适性,0.065898985,
vdWmiISbRku1Cl3J,舒适性,0.073172316,
41UzNi5pMPDG7nhf,舒适性,0.16331695,
NAC6vpWtqaTQYXD8,舒适性,-0.08103369,
HAVTYESJNfjlZ9iM,舒适性,0.08155554,
42VhMRSsCcn85kEd,舒适性,0.08693468,
Wf9T283SZphL6tQ4,舒适性,0.044200096,
D2HpBfqwoecTkhdS,舒适性,-0.03818601,
NT3qf2R5XrGonlgk,舒适性,0.13760273,
dm1W2BIEyJ0Gsxp8,舒适性,-0.0074929316,
Mglj9pKWkY7Isixm,舒适性,0.15226257,
otT6DmhdEpx5Q74R,舒适性,0.0016762146,
SclmZXYIUoBv478b,舒适性,0.0069254097,
BZ4Ig9Gr7zQPM6Xt,舒适性,0.1362819,
FLxPweOVGBTmnoQE,舒适性,-0.14436907,
H903fh4mU1dtQTiZ,舒适性,-0.087795965,
g27EQ5F4bMjSp9qc,舒适性,0.06522373,
o9iwO8ChDBUTJ7YI,舒适性,0.09996285,
tka3Nq9TAR5BH7Ij,舒适性,-0.043148696,
lswKvJMLT50iudoG,舒适性,0.12295504,
QG07en46S5qxWUud,舒适性,-0.10600766,
u3gf4yJX5SNGmhIs,舒适性,-0.068899006,
9firBmw7PNz0XQyE,舒适性,0.1648838,
bJ5L9HBuvqgPm3O2,舒适性,0.066222705,
HkGilbeypwMczdoQ,舒适性,0.06846636,
5jHabez9oxP4CY8O,舒适性,-0.05147778,
eAfZWrs5b3UJP7Bl,舒适性,-0.23120144,
ocOHDW3kGit6jpBm,舒适性,-0.021282444,
xDOnv0fUogsFlkuC,舒适性,0.109075695,
gTd84yZ6R0VLaYSF,舒适性,0.09005108,
gsiR7FHy5YndmTXK,舒适性,0.106445454,
nhAC4mEYRazX9dJL,舒适性,0.13371776,
Mj9ZO61VWTefml7z,舒适性,0.10866406,
cdV1254iqHpAawt7,舒适性,-0.04604774,
dRtVLIX4F60YvMbG,舒适性,-0.008109884,
Na2ezFRWDrCGY571,舒适性,0.123481534,
s3U4wYnirNfeQ7o0,舒适性,0.001950016,
ZvSrjpV3oYxARtOq,舒适性,0.32324803,
j5dIzG0CvbFxlQgf,舒适性,0.050029468,
WXLA1peMJxl2RTQg,舒适性,0.08339316,
1YyTakcRLKS43CWs,舒适性,0.10088489,
N9CZ1kQdnrxPaqRs,舒适性,0.06965327,
zXPLFe5Sqvc06RuG,舒适性,0.22051252,
qpPHjUw7IMJNFSub,舒适性,0.2816615,
JlWDb4BCsTiN2Ie3,舒适性,-0.012272047,
VocwTNU3JkR50mvI,舒适性,0.0077961814,
O7j9h8MaymUvVAtT,舒适性,0.09016518,
wogvV9fYFN2uHxMa,舒适性,0.03501459,
S7uwyZiTsRWX6Nzh,舒适性,-0.017797435,
CF781DrEqjJh5eHX,舒适性,0.1500496,
5TCU9c6I3esSFVx7,舒适性,0.09968015,
rsPHOp7WeK2uYgb6,舒适性,-0.007116342,
N0MLJFXRIE3wVl9d,舒适性,0.2503884,
1WCAISQtuEdTZ7G5,舒适性,-0.008326659,
KH853hdTJX2nWM71,舒适性,0.05149303,
a52KoCrScpnW8xlR,舒适性,0.13242964,
ikqn9SVU1dDFeYpb,舒适性,0.07135691,
EreqkWG8o357Htdh,舒适性,0.053901073,
UWDsRXma9t6FpxKo,舒适性,0.18490976,
oK8vTpZzAag7iCur,舒适性,0.032744978,
QqmEuP4l6sMTXASx,舒适性,0.039836343,
AdTjwHJso1K6Xcpa,舒适性,0.06037276,
qtW1wiyejr4zF3Hu,舒适性,-0.07811465,
m6XbwZQn9D8hqOf3,舒适性,0.042720728,
gaoKxMwZOX7TQSbY,舒适性,-0.1652063,
4PUWD5HkGZFdcYr6,舒适性,0.011717012,
j5dpvDJ80YWPSew3,舒适性,-0.0056844074,
4SDY29tXIivB6VLZ,舒适性,-0.006429868,
x4fpOqR6sUiClheE,舒适性,-0.09311568,
H6CfVzu4mLq0JkR7,舒适性,0.24552427,
jMWAIfyUN3sqTovd,舒适性,-0.004248524,
tDN57PGxglB8WOdH,舒适性,-0.014819408,
ZbGpiu1Q9vEkHaVJ,舒适性,0.07270265,
q8mnYHr6vAKoTOx9,舒适性,0.024061305,
W8dF6ujP3KemG7ac,舒适性,0.16424079,
vF1hy5Ple8XGEOVb,舒适性,0.021498365,
97fvXxIlWCbBYULt,舒适性,-0.099907786,
guCoQmIawZqz374R,舒适性,0.087833315,
akAurTlP2oUxnzyv,舒适性,0.25129116,
8oeBjF7TwlPyLvcY,舒适性,0.20568968,
JDwFsuZQMy5mVRzp,舒适性,-0.011606539,
TMYuydGFgJOWSsLx,舒适性,0.093757704,
yQhSYbRB7gu3Pma6,舒适性,-0.098508045,
xQbOMh3lHYJNAWsv,舒适性,0.049363248,
bX2DFsLOUIMxQzCB,舒适性,0.17088175,
sdAoJBha65SUxfWM,舒适性,-0.049071856,
dm6eXoIg9Df0nFaV,舒适性,0.10211436,
qopu4EsiAz9KU7MC,舒适性,0.21578796,
VuQntJTzsOL1ao0W,舒适性,-0.056012955,
3GtNOfDcna4Mzk5i,舒适性,0.07164178,
T40PlF3fkStJdIx9,舒适性,0.11043045,
3s9NFKhCQk70Ti2E,舒适性,0.104440466,
aKoINhXEle3QS6zy,舒适性,-0.0020299351,
RjTnb0AcmBiaP2ky,舒适性,-0.11258587,
p8SCmcxyB1aeOTYG,舒适性,0.06640559,
uPCDeFYmpcfRz1tQ,舒适性,0.011235101,
lkJziVEyecn7d5gh,舒适性,-0.024347221,
xXQtrRW7UOwPCbEi,舒适性,-0.08900449,
Dj6R3K2iLuEtUnWG,舒适性,0.025530575,
SOY2TGwFQi8Etknh,舒适性,-0.09225168,
6x4Is30vB1laSHoN,舒适性,-0.006082097,
ZAx5w2LSbkGdRMFQ,舒适性,-0.046147037,
Z1kNWAOM9rYol0Ve,舒适性,0.089524336,
V3xslWKOyv9ILquX,舒适性,0.10955312,
7duqegOxLs2Vo8XW,舒适性,0.09143679,
Krp3Gzk2aNhHJ6R7,舒适性,0.18091549,
gnpKm9FPl4Y3OL8h,舒适性,0.025433777,
axPES1MA7I8BlcvO,舒适性,0.32739577,
qrM0TVRhAm18Q6uO,舒适性,-0.04017323,
PXdW23e95gLOhBaf,舒适性,0.042549565,
TBy1z62utW8GcvIs,舒适性,-0.025890576,
HWDQF5VOam2NR6rX,舒适性,-0.012964057,
heEaPY3Z1upcSxyt,舒适性,-0.11230336,
BgJk730pyovPubIr,舒适性,0.03810742,
sJlZXtVAdKeq0gha,舒适性,0.22273327,
bHtilDz4Yf8v7TmS,舒适性,-0.086995736,
tpl0FmwfHdM13qZK,舒适性,0.020075275,
6oPvUG1VLyzSKxOM,舒适性,0.1073855,
YUG1zybnqjSDmZkJ,舒适性,0.15257631,
USrqtIMjsYzeRi4W,舒适性,-0.008717241,
fwr9qOUYsxJK0ACm,舒适性,-0.008717241,
Ht7R0SnZMEV1eD6Q,舒适性,0.103746705,
5uj6bGWhXVE2aceA,舒适性,0.022356262,
XfUjb9C4gzecudla,舒适性,0.10476839,
xsReYtP7VfJjdhSF,舒适性,0.013709901,
tHWyUYRxdGbqf753,舒适性,0.24284843,
6kCpDM1SoTf0jJPE,舒适性,0.19681844,
goKCk8Rb1pX9WMHm,舒适性,0.06542606,
8ijAZKYdwx5BXeEz,舒适性,0.12062114,
e3okWLYKjs9G72AC,舒适性,0.12703271,
jITzq8OdwA31Htxk,舒适性,0.047653113,
t6UAah74Glob2D0V,舒适性,0.10948572,
CmpW4Xv207JquMt1,舒适性,0.036264334,
4wZWbHCFdfML9KuG,舒适性,0.037720907,
WovLRxkSqwECfc8X,舒适性,0.029115511,
oX1pJ3yMtIaOcNWA,舒适性,-0.011196787,
s3itxIAdrfum9pcW,舒适性,0.19452165,
pZwnM9mjutIRUkXs,舒适性,0.09732182,
92br5tQejaEywGWP,舒适性,0.093755186,
j32vz0EsGwWqnPyX,舒适性,-0.0824349,
auH2N6r5nbFAiIpd,舒适性,0.043848116,
ZwRt05lCQKhTJvP1,舒适性,0.06469427,
h1EMXCOJgZmAU6Pz,舒适性,0.1084448,
9f1boRZ3OC74gtX0,舒适性,0.026665969,
fqWAnpjt7x4uRYCX,舒适性,0.06782787,
SpPEa8nQWH6hlFNu,舒适性,-0.020922283,
f62Gp0gW98REZAuw,舒适性,0.1185777,
GNa1PiTpkvQS7Brl,舒适性,-0.028289849,
PQ4aUyTilNXxORcY,舒适性,0.052399028,
yNG3vwVFWsjkRIMg,舒适性,0.0059508067,
L2XqxsdSn46Iluap,舒适性,0.07399107,
5JBfIwshEo6tUk7K,舒适性,0.19248885,
CmIWFZpKzrEfqDVw,舒适性,-0.05984186,
ZAPEkuB72jnC45lO,舒适性,0.039554846,
7RN83mKkVYUHsT5l,舒适性,0.15021081,
1NiFvMeJH0mGW3DL,舒适性,-0.09130771,
54tGhC6PrfmegIA1,舒适性,-0.11010142,
QAIbFNTvKfR5WiyD,舒适性,0.12578315,
74gkpaVmG8F5UCoy,舒适性,-0.1281245,
yYV0rn5D2fNUwmIx,舒适性,-0.08546589,
NqFnG0WxBMp51tea,舒适性,-0.06704727,
JSysamBMxUlE3w4d,舒适性,-0.02132616,
XyZf0bjvpHk8OM9i,舒适性,0.08752042,
k41e9Px3UihCG0mp,舒适性,0.12157745,
SCZnbgBQITP40LoU,舒适性,0.15431361,
SMJC8lbAtwDmHQr9,舒适性,0.023492796,
ig1CYQufD2BrU3WO,舒适性,0.062439274,
qLpTto5K4MyNFBaZ,舒适性,0.030708356,
HkaSb1yPMxmniAOl,舒适性,0.017739763,
m6Y1uZiXQ0Stj9RH,舒适性,-0.014024394,
EmMhBLe53vG2rsxn,舒适性,-0.067244604,
C2izVwpOYvM9JjDt,舒适性,0.04960599,
Mb7Zz60NWyakEcQ4,舒适性,-0.12250962,
HEORumQAIFNMzDd5,舒适性,0.017238049,
gpHn7KrjRx4Di3LG,舒适性,-0.192373,
7RWHqS9pfuaFsxM3,舒适性,0.101900525,
pgUqmf15zBdHi4Et,舒适性,0.012639796,
CkpXzGLZSt6YiRJ3,舒适性,-0.058876164,
c24Lb3hwHmUN6xFu,舒适性,0.046672177,
PAZY0lb9LHWEVGfJ,舒适性,0.12835424,
hVKzEGBZYareFNQx,舒适性,0.06852988,
xipCKcrkQZHUS2W5,舒适性,0.0005049014,
on3Flj4VIavWHbCX,舒适性,0.10479281,
pXEC2P7BzGYmUxiy,舒适性,-0.004497716,
EWYyMFKH31x5GleP,舒适性,-0.0056673754,
uk17vcMZBn62Nhie,舒适性,-0.0029588512,
NQZHaLmIEezTJ4RM,舒适性,-0.065812536,
co5nyPfVM90BZkDA,舒适性,-0.012187643,
u9cyYrfEjDaT84UH,舒适性,0.035413597,
gJBbLW7NHT8iOnpx,舒适性,-0.043932047,
jZRuDrH5O2XG16Ac,舒适性,-0.103682734,
flA3kPNCHaVpheZo,舒适性,0.00505401,
Ktq3p75AxoNGWCwn,舒适性,-0.07571996,
GsF02l9KgVvqJhn6,舒适性,-0.071407355,
otQSEuPxej9lZnRI,舒适性,-0.064666845,
nO5xei9AWYfENbR4,舒适性,0.117473714,
CLvyj8XoId23B9nH,舒适性,-0.008068541,
tPHVDaFl6JZX3QOT,舒适性,0.10109271,
l4GZ17PmtNV925Ti,舒适性,0.028903617,
6GjoJk7wyDZVFQ3C,舒适性,0.12602781,
bnJs8fFTetghcwOu,舒适性,0.036375124,
oxfEewZ2OpLTQHCk,舒适性,-0.081205435,
rMGqhFUk2caWpL07,舒适性,-0.03683624,
4aUn8IJ1to3uCeT6,舒适性,0.123828955,
khucIwyDv2Jir5LF,舒适性,-0.044242226,
3jSw0GWRJQ9BXoyt,舒适性,0.05513787,
9MZEmklAn4bBRHwc,舒适性,-0.049669962,
A3fB0LW9sSgyZx8e,舒适性,0.013442809,
5vHgNbhRuU7IEK0W,舒适性,0.07932355,
0gTQCnKUoP9zv5mS,舒适性,0.02873419,
YdwaSTE8ltUiZHDM,舒适性,0.15817988,
ov2mM3EU7uH9A65Q,舒适性,-0.10817101,
HwhtEmxKsTj1aCIP,舒适性,0.011038041,
h6TQ97vDpJG3kHoS,舒适性,0.118675336,
cVlv8HZPjB6m4y75,舒适性,0.21009226,
4WOkTuMarEPw5fo7,舒适性,0.020346483,
XcTm3FlvduPys08h,舒适性,0.07797163,
kjXVLom64WiMuQwK,舒适性,0.1433264,
e2ATqS3JlL7ob1zy,舒适性,0.19903184,
SodBsCOQX81g9npP,舒适性,0.08225531,
BcEzqdb6HlyGae17,舒适性,-0.017023342,
nPKxqrigWs2zo3AB,舒适性,0.07593638,
oPmtKcq25v7i1WBL,舒适性,0.050066013,
BtKIWmdH0Zlk6jNX,舒适性,0.01631759,
DWCAvrcNBPwxZFpI,舒适性,0.0010083371,
